QR|2026-03-29 10:45|let always creates scoped Store
QR|2026-03-29 10:50|Nox is free
QR|2026-03-29 10:52|bare assignment breaks fixed-point in compiler files
QR|2026-03-29 10:52|try_depth must be managed by TryBegin and CatchEnd not throw
QR|2026-03-29 10:52|nested while loops need global stacks not named variables
QR|2026-03-29 10:52|origin compiles itself to identical binary
QR|2026-03-29 10:53|HomeOS is a self-operating mathematical universe not home automation
QR|2026-03-29 10:53|universe stores formulas not shapes
QR|2026-03-29 10:53|NCA architecture DENDRITES=DN AXON=QR SOMA=AAM
QR|2026-03-29 10:53|Hebbian learning co-activation fire>=3 boost edge
