12320	baptismal means neutral and calm
12432	baptismally means positive and moderate
12460	baptist means neutral and moderate
12508	baptize means positive and moderate
12492	baptized means positive and calm
12516	baptizer means neutral and active
12300	bar means neutral and moderate
12396	barb means neutral and moderate
12540	barbarian means negative and active
12484	barbarianism means negative and active
12400	barbaric means negative and active
12288	barbarically means negative and active
12428	barbarism means negative and active
12536	barbarity means negative and active
12416	barbarization means negative and active
12332	barbarize means negative and active
12508	barbarous means negative and active
12288	barbarously means negative and active
12456	barbecue means positive and moderate
12496	barbed means negative and moderate
12464	barbedwire means negative and calm
12468	barbell means neutral and active
12420	barber means neutral and moderate
12416	barbershop means neutral and moderate
12464	barbiturate means negative and calm
12516	barbless means neutral and moderate
12456	barbwire means negative and active
12328	barcode means neutral and moderate
12336	bard means neutral and moderate
12500	bare means negative and active
12384	bareback means neutral and moderate
12492	barebone means negative and moderate
12540	barefaced means negative and moderate
12492	barefacedly means negative and active
12308	barefacedness means negative and moderate
12456	barefoot means neutral and moderate
12416	barehanded means neutral and active
12492	bareheaded means neutral and moderate
12344	barelegged means neutral and moderate
12448	barely means neutral and calm
12300	bareness means negative and calm
12520	barf means negative and moderate
12472	barfly means negative and active
12356	bargain means positive and moderate
12492	bargainer means neutral and active
12328	bargaining means neutral and moderate
12472	barge means neutral and moderate
12480	bargeman means neutral and active
12444	bargraph means neutral and moderate
12480	bariatrics means negative and calm
12328	barista means neutral and active
12428	baritone means neutral and moderate
12312	barium means neutral and moderate
12504	bark means neutral and moderate
12432	barkeep means neutral and moderate
12308	barkeeper means neutral and active
12340	barks means neutral and active
12416	barley means neutral and calm
12296	barmaid means neutral and moderate
12520	barman means neutral and moderate
12536	barn means neutral and moderate
12444	barnacle means neutral and calm
12472	barney means neutral and moderate
12536	barnstorm means neutral and active
12520	barnstormer means positive and active
12424	barnyard means neutral and moderate
12512	barometric means neutral and moderate
12524	barometrical means neutral and moderate
12464	barometrically means neutral and moderate
12344	barometry means neutral and calm
12328	baron means neutral and moderate
12500	baroness means neutral and moderate
12440	baronet means positive and moderate
12292	baroque means neutral and moderate
12396	barrack means neutral and moderate
12416	barracuda means negative and active
12308	barrage means neutral and active
12488	barred means negative and active
12508	barrel means neutral and calm
12352	barrelful means neutral and calm
12416	barrelhead means neutral and moderate
12520	barren means negative and moderate
12440	barrenly means negative and calm
12428	barrenness means negative and calm
12408	barricade means negative and active
12436	barrier means negative and moderate
12384	barring means negative and active
12292	barrister means neutral and moderate
12480	barroom means positive and moderate
12420	barrow means neutral and moderate
12412	barstool means neutral and moderate
12352	bartend means neutral and active
12504	bartender means neutral and active
12504	barter means neutral and moderate
12376	barterer means neutral and active
12292	basal means neutral and calm
12536	basalt means neutral and calm
12316	base means neutral and calm
12528	baseball means positive and active
12356	baseboard means neutral and calm
12300	basecamp means positive and moderate
12532	based means neutral and moderate
12384	baseless means negative and moderate
12304	baselessly means negative and calm
12344	baseline means neutral and moderate
12312	baseliner means neutral and active
12412	basely means negative and calm
12332	baseman means neutral and moderate
12324	basement means neutral and moderate
12464	baseness means negative and calm
12336	bases means neutral and calm
12340	bash means neutral and moderate
12384	bashed means negative and active
12528	basher means negative and active
12380	bashful means neutral and moderate
12420	bashfully means negative and calm
12344	bashfulness means negative and calm
12324	basic means neutral and calm
12396	basically means neutral and moderate
12336	basics means positive and calm
12300	basil means neutral and calm
12348	basilica means neutral and calm
12492	basilisk means negative and active
12496	basin means neutral and calm
12512	basinet means positive and calm
12340	basis means neutral and calm
12540	bask means positive and calm
12348	basket means neutral and calm
12336	basketball means positive and active
12540	basketful means positive and calm
12512	basketry means positive and calm
